ID,ORIGINAL_ID,ORIG
1,1524,"139.7668389,35.69636092"
2,1524,"139.7668389,35.69636092"
3,1524,"139.7668389,35.69636092"
4,1524,"139.7668389,35.69636092"
5,1524,"139.7668389,35.69636092"
6,1524,"139.7668389,35.69636092"
7,1524,"139.7668389,35.69636092"
8,1524,"139.7668389,35.69636092"
9,1524,"139.7668389,35.69636092"
10,504,"139.7570442,35.68431018"
11,504,"139.7570442,35.68431018"
12,504,"139.7570442,35.68431018"
13,504,"139.7570442,35.68431018"
14,504,"139.7570442,35.68431018"
15,504,"139.7570442,35.68431018"
16,504,"139.7570442,35.68431018"
17,504,"139.7570442,35.68431018"
18,504,"139.7570442,35.68431018"
19,504,"139.7570442,35.68431018"
20,504,"139.7570442,35.68431018"
21,504,"139.7570442,35.68431018"
22,504,"139.7570442,35.68431018"
23,5178,"139.745531,35.66203467"
24,5178,"139.745531,35.66203467"
25,5178,"139.745531,35.66203467"
26,5178,"139.745531,35.66203467"
27,5178,"139.745531,35.66203467"
28,5178,"139.745531,35.66203467"
29,5178,"139.745531,35.66203467"
30,5178,"139.745531,35.66203467"
31,5178,"139.745531,35.66203467"
32,5178,"139.745531,35.66203467"
33,5178,"139.745531,35.66203467"
34,5178,"139.745531,35.66203467"
35,5178,"139.745531,35.66203467"
36,5178,"139.745531,35.66203467"
37,5178,"139.745531,35.66203467"
38,5178,"139.745531,35.66203467"
39,5178,"139.745531,35.66203467"
40,5178,"139.745531,35.66203467"
41,5178,"139.745531,35.66203467"
42,5178,"139.745531,35.66203467"
43,5178,"139.745531,35.66203467"
44,5178,"139.745531,35.66203467"
45,5178,"139.745531,35.66203467"
46,5178,"139.745531,35.66203467"
47,5178,"139.745531,35.66203467"
48,5178,"139.745531,35.66203467"
49,5178,"139.745531,35.66203467"
50,5178,"139.745531,35.66203467"
51,5178,"139.745531,35.66203467"
52,5178,"139.745531,35.66203467"
53,5178,"139.745531,35.66203467"
54,5178,"139.745531,35.66203467"
55,5178,"139.745531,35.66203467"
56,5178,"139.745531,35.66203467"
57,5178,"139.745531,35.66203467"
58,5178,"139.745531,35.66203467"
59,5178,"139.745531,35.66203467"
60,5178,"139.745531,35.66203467"
61,5178,"139.745531,35.66203467"
62,5178,"139.745531,35.66203467"
63,5178,"139.745531,35.66203467"
64,5178,"139.745531,35.66203467"
65,5178,"139.745531,35.66203467"
66,5178,"139.745531,35.66203467"
67,5178,"139.745531,35.66203467"
68,5178,"139.745531,35.66203467"
69,5178,"139.745531,35.66203467"
70,5178,"139.745531,35.66203467"
71,5178,"139.745531,35.66203467"
72,1005,"139.7418047,35.68723724"
73,1005,"139.7418047,35.68723724"
74,1005,"139.7418047,35.68723724"
75,1005,"139.7418047,35.68723724"
76,1005,"139.7418047,35.68723724"
77,1005,"139.7418047,35.68723724"
78,1005,"139.7418047,35.68723724"
79,1005,"139.7418047,35.68723724"
80,1005,"139.7418047,35.68723724"
81,1005,"139.7418047,35.68723724"
82,1005,"139.7418047,35.68723724"
83,1005,"139.7418047,35.68723724"
84,1005,"139.7418047,35.68723724"
85,1005,"139.7418047,35.68723724"
86,1005,"139.7418047,35.68723724"
87,1005,"139.7418047,35.68723724"
88,1005,"139.7418047,35.68723724"
89,1005,"139.7418047,35.68723724"
90,1005,"139.7418047,35.68723724"
91,1005,"139.7418047,35.68723724"
92,1005,"139.7418047,35.68723724"
93,1005,"139.7418047,35.68723724"
94,1005,"139.7418047,35.68723724"
95,1005,"139.7418047,35.68723724"
96,1005,"139.7418047,35.68723724"
97,1005,"139.7418047,35.68723724"
98,1005,"139.7418047,35.68723724"
99,1005,"139.7418047,35.68723724"
100,1005,"139.7418047,35.68723724"
101,1005,"139.7418047,35.68723724"
102,1005,"139.7418047,35.68723724"
103,1005,"139.7418047,35.68723724"
104,1005,"139.7418047,35.68723724"
105,1005,"139.7418047,35.68723724"
106,1005,"139.7418047,35.68723724"
107,1005,"139.7418047,35.68723724"
108,1005,"139.7418047,35.68723724"
109,1005,"139.7418047,35.68723724"
110,1005,"139.7418047,35.68723724"
111,1005,"139.7418047,35.68723724"
112,1005,"139.7418047,35.68723724"
113,1005,"139.7418047,35.68723724"
114,1005,"139.7418047,35.68723724"
115,1005,"139.7418047,35.68723724"
116,1005,"139.7418047,35.68723724"
117,1005,"139.7418047,35.68723724"
118,1005,"139.7418047,35.68723724"
119,1005,"139.7418047,35.68723724"
120,1005,"139.7418047,35.68723724"
121,1005,"139.7418047,35.68723724"
122,1005,"139.7418047,35.68723724"
123,1005,"139.7418047,35.68723724"
124,1005,"139.7418047,35.68723724"
125,1005,"139.7418047,35.68723724"
126,1005,"139.7418047,35.68723724"
127,1005,"139.7418047,35.68723724"
128,1005,"139.7418047,35.68723724"
129,1005,"139.7418047,35.68723724"
130,1005,"139.7418047,35.68723724"
131,1005,"139.7418047,35.68723724"
132,1005,"139.7418047,35.68723724"
133,16347,"139.6916144,35.69467596"
134,16347,"139.6916144,35.69467596"
135,16347,"139.6916144,35.69467596"
136,16347,"139.6916144,35.69467596"
137,16347,"139.6916144,35.69467596"
138,16347,"139.6916144,35.69467596"
139,16347,"139.6916144,35.69467596"
140,16347,"139.6916144,35.69467596"
141,16347,"139.6916144,35.69467596"
142,16347,"139.6916144,35.69467596"
143,16347,"139.6916144,35.69467596"
144,16347,"139.6916144,35.69467596"
145,16347,"139.6916144,35.69467596"
146,16347,"139.6916144,35.69467596"
147,16347,"139.6916144,35.69467596"
148,16347,"139.6916144,35.69467596"
149,16347,"139.6916144,35.69467596"
150,16347,"139.6916144,35.69467596"
151,16347,"139.6916144,35.69467596"
152,16347,"139.6916144,35.69467596"
153,16347,"139.6916144,35.69467596"
154,16347,"139.6916144,35.69467596"
155,16347,"139.6916144,35.69467596"
156,16347,"139.6916144,35.69467596"
157,16347,"139.6916144,35.69467596"
158,16347,"139.6916144,35.69467596"
159,16347,"139.6916144,35.69467596"
160,16347,"139.6916144,35.69467596"
161,16347,"139.6916144,35.69467596"
162,16347,"139.6916144,35.69467596"
163,16347,"139.6916144,35.69467596"
164,16347,"139.6916144,35.69467596"
165,16347,"139.6916144,35.69467596"
166,16347,"139.6916144,35.69467596"
167,16347,"139.6916144,35.69467596"
168,16347,"139.6916144,35.69467596"
169,16347,"139.6916144,35.69467596"
170,16347,"139.6916144,35.69467596"
171,16347,"139.6916144,35.69467596"
172,16347,"139.6916144,35.69467596"
173,16347,"139.6916144,35.69467596"
174,16347,"139.6916144,35.69467596"
175,16347,"139.6916144,35.69467596"
176,16347,"139.6916144,35.69467596"
177,16347,"139.6916144,35.69467596"
178,16347,"139.6916144,35.69467596"
179,16347,"139.6916144,35.69467596"
180,16347,"139.6916144,35.69467596"
181,16347,"139.6916144,35.69467596"
182,16347,"139.6916144,35.69467596"
183,16347,"139.6916144,35.69467596"
184,16347,"139.6916144,35.69467596"
185,16347,"139.6916144,35.69467596"
186,16347,"139.6916144,35.69467596"
187,16347,"139.6916144,35.69467596"
188,16347,"139.6916144,35.69467596"
